"Ausgangsjahr","Gesetz_Nummer","Gesetz_Abk","Reihenfolge_Titel","Titel","Reihenfolge_Haupttitel","Haupttitel","Artikel","Tatbestand","Straftaten_total","Straftaten_vollendet","Straftaten_versucht","Einwohner","Häufigkeitszahl"
2012,812.121,BetmG,802,Total leichte Fälle,802,Total leichte Fälle,"19 Abs. 1 lit. c, e-f, u.a.",Handel (l.F.),1058,,,1392396,0.8
2012,812.121,BetmG,802,Total leichte Fälle,802,Total leichte Fälle,19 Abs. 1 lit. b,"Einfuhr, Ausfuhr, Transit (l.F.)",139,,,1392396,0.1
2012,812.121,BetmG,803,Total schwere Fälle,803,Total schwere Fälle,19 Abs. 1 lit. d + Abs. 2 lit. a-c,Besitz/Sicherst. (schwerer Fall),380,,,1392396,0.3
2012,812.121,BetmG,803,Total schwere Fälle,803,Total schwere Fälle,19 Abs. 1 lit. a + Abs. 2 lit. a-c,Anbau/Herstellung (s.F.),35,,,1392396,0
2012,812.121,BetmG,803,Total schwere Fälle,803,Total schwere Fälle,"19 Abs. 1 lit. c, e-f + Abs. 2 lit. a-c, u.a.",Handel (s.F.),529,,,1392396,0.4
2012,812.121,BetmG,803,Total schwere Fälle,803,Total schwere Fälle,19 Abs. 1 lit. b + Abs. 2 lit. a-c,"Einfuhr, Ausfuhr, Transit (s.F.)",202,,,1392396,0.1
2012,142.20,AIG,1421,Total rechtswidrige Ein- / Ausreise / Aufenthalt,1421,Total rechtswidrige Ein- / Ausreise / Aufenthalt,115 Abs. 1 lit. a,Rechtswidrige Einreise (inkl. fahrlässig),2719,,,1392396,2
2012,142.20,AIG,1421,Total rechtswidrige Ein- / Ausreise / Aufenthalt,1421,Total rechtswidrige Ein- / Ausreise / Aufenthalt,115 Abs. 1 lit. b,Rechtswidriger Aufenthalt (inkl. fahrlässig),4154,,,1392396,3
2012,142.20,AIG,1421,Total rechtswidrige Ein- / Ausreise / Aufenthalt,1421,Total rechtswidrige Ein- / Ausreise / Aufenthalt,115 Abs. 1 lit. d,Ein- / Ausreise über nicht bewilligte Grenzübergangsstelle,5,,,1392396,0
2012,142.20,AIG,1421,Total rechtswidrige Ein- / Ausreise / Aufenthalt,1421,Total rechtswidrige Ein- / Ausreise / Aufenthalt,115 Abs. 2,Verletz. der Einreisebestimmungen in fremdes Hoheitsgebiet,25,,,1392396,0
2012,142.20,AIG,1422,Total illegale Erwerbstätigkeit oder Beschäftigung,1422,Total illegale Erwerbstätigkeit oder Beschäftigung,115 Abs. 1 lit. c,Unbewilligte Erwerbstätigkeit (inkl. fahrlässig),671,,,1392396,0.5
2012,142.20,AIG,1422,Total illegale Erwerbstätigkeit oder Beschäftigung,1422,Total illegale Erwerbstätigkeit oder Beschäftigung,116 Abs. 1 lit. b (+ Abs. 3),Förderung der Erwerbstätigkeit ohne Bewilligung,17,,,1392396,0
2012,142.20,AIG,1422,Total illegale Erwerbstätigkeit oder Beschäftigung,1422,Total illegale Erwerbstätigkeit oder Beschäftigung,117,(Wiederholte) Beschäftigung von Ausländern ohne Bewilligung (inkl. fahrlässig),274,,,1392396,0.2
2012,142.20,AIG,1422,Total illegale Erwerbstätigkeit oder Beschäftigung,1422,Total illegale Erwerbstätigkeit oder Beschäftigung,120 Abs. 1 lit. b,Stellenwechsel ohne Bewilligung,4,,,1392396,0
2012,142.20,AIG,1423,Total Täuschung der Behörden,1423,Total Täuschung der Behörden,118 Abs. 1 (+ Abs. 3),Täuschung der Behörden,51,,,1392396,0
2012,142.20,AIG,1423,Total Täuschung der Behörden,1423,Total Täuschung der Behörden,118 Abs. 2 (+ Abs. 3),Täuschung im Bereich Scheinehe,19,,,1392396,0
2012,142.20,AIG,1424,Total Förderung der rechtswidrigen Ein- / Ausreise / Aufenthalt,1424,Total Förderung der rechtswidrigen Ein- / Ausreise / Aufenthalt,116 Abs. 1 lit. a (+ Abs. 3),Förderung rechtswidrige Ein- / Ausreise / Aufenthalt,169,,,1392396,0.1
2012,142.20,AIG,1424,Total Förderung der rechtswidrigen Ein- / Ausreise / Aufenthalt,1424,Total Förderung der rechtswidrigen Ein- / Ausreise / Aufenthalt,116 Abs. 1 lit. a bis (+ Abs. 3),Förderung rechtswidrige Ein- / Durch- / Ausreise / Aufenthalt in Schengen-Staat,0,,,1392396,0
2012,142.20,AIG,1424,Total Förderung der rechtswidrigen Ein- / Ausreise / Aufenthalt,1424,Total Förderung der rechtswidrigen Ein- / Ausreise / Aufenthalt,116 Abs. 1 lit. c (+ Abs. 3),Förderung rechtswidrige Einreise in fremdes Hoheitsgebiet,1,,,1392396,0
2012,142.20,AIG,1424,Total Förderung der rechtswidrigen Ein- / Ausreise / Aufenthalt,1424,Total Förderung der rechtswidrigen Ein- / Ausreise / Aufenthalt,116 Abs. 3,Erleichterungen mit Bereicherungsabsicht / organisiert,21,,,1392396,0
2012,142.20,AIG,1425,Total weitere Widerhandlungen gegen AIG,1425,Total weitere Widerhandlungen gegen AIG,119 Abs. 1,Missachtung Ein- oder Ausgrenzung,218,,,1392396,0.2
2012,142.20,AIG,1425,Total weitere Widerhandlungen gegen AIG,1425,Total weitere Widerhandlungen gegen AIG,120 Abs. 1 lit. a,Verletzen der An- oder Abmeldepflichten,292,,,1392396,0.2
2012,142.20,AIG,1425,Total weitere Widerhandlungen gegen AIG,1425,Total weitere Widerhandlungen gegen AIG,120 Abs. 1 lit. c,Wohnortwechsel in anderen Kanton ohne Bewilligung,15,,,1392396,0
2012,142.20,AIG,1425,Total weitere Widerhandlungen gegen AIG,1425,Total weitere Widerhandlungen gegen AIG,120 Abs. 1 lit. d,Nichteinhaltung mit Bewilligung verbundenen Bedingungen,1,,,1392396,0
2012,142.20,AIG,1425,Total weitere Widerhandlungen gegen AIG,1425,Total weitere Widerhandlungen gegen AIG,120 Abs. 1 lit. e,Nichtnachk. Mitwirkungspflicht bei Beschaffung der Ausweisp.,601,,,1392396,0.4
2012,142.20,AIG,1425,Total weitere Widerhandlungen gegen AIG,1425,Total weitere Widerhandlungen gegen AIG,120,Weitere Widerhandlungen gegen Art. 120,985,,,1392396,0.7
2013,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,111-113/116,Tötungsdelikte,28,5,23,1408575,0
2013,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,114,Tötung auf Verlangen,0,0,0,1408575,0
2013,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,115,Verleitung und Beihilfe zum Selbstmord,0,0,0,1408575,0
2013,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,117,Fahrlässige Tötung,5,5,0,1408575,0
2013,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,118,Strafbarer Schwangerschaftsabbruch,1,0,1,1408575,0
2013,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,120,Übertretungen durch Ärztinnen und Ärzte,0,0,0,1408575,0
2013,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,122,Schwere Körperverletzung,196,174,22,1408575,0.1
2013,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,123,Einfache Körperverletzung,1608,1568,40,1408575,1.1
2013,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,124,Verstümmelung weiblicher Genitalien,0,0,0,1408575,0
2013,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,125,Fahrlässige Körperverletzung,133,132,1,1408575,0.1
2013,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,126,Tätlichkeiten,2643,2643,0,1408575,1.9
2013,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,127,Aussetzung,4,4,0,1408575,0
2013,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,128,Unterlassung der Nothilfe,9,9,0,1408575,0
2013,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,128bis,Falscher Alarm,16,16,0,1408575,0
2013,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,129,Gefährdung des Lebens,95,94,1,1408575,0.1
2013,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,133,Raufhandel,251,251,0,1408575,0.2
2013,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,134,Angriff,511,511,0,1408575,0.4
2013,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,135,Gewaltdarstellungen,37,37,0,1408575,0
2013,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,136,Verabreichen gesundheitsgefährdender Stoffe an Kinder,11,11,0,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,137,Unrechtmässige Aneignung inkl. geringfügig,1063,1063,0,1408575,0.8
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,138,Veruntreuung inkl. geringfügig,458,449,9,1408575,0.3
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Diebstahl inkl. geringfügig,14430,14351,79,1408575,10.2
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Einbruchdiebstahl,9171,5666,3505,1408575,6.5
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Einschleichdiebstahl,2171,2053,118,1408575,1.5
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Entreissdiebstahl,314,303,11,1408575,0.2
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Ladendiebstahl inkl. geringfügig,3005,2980,25,1408575,2.1
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Taschendiebstahl,7411,7361,50,1408575,5.3
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Trickdiebstahl,1024,986,38,1408575,0.7
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Hausgenossendiebstahl inkl. geringfügig,37,37,0,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Fahrzeugeinbruchdiebstahl inkl. geringfügig,3141,2444,697,1408575,2.2
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Fahrzeugdiebstahl,6607,6547,60,1408575,4.7
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Diebstahl ab/aus Fahrzeug inkl. geringfügig,1330,1278,52,1408575,0.9
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,140,Raub,658,556,102,1408575,0.5
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,141,Sachentziehung inkl. geringfügig,144,144,0,1408575,0.1
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,141bis,Unrechtmässige Verwendung von Vermögenswerten,9,9,0,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,142,Unrechtmässige Entziehung von Energie,2,2,0,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,143,Unbefugte Datenbeschaffung,231,223,8,1408575,0.2
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,143bis,Unbefugtes Eindringen in ein Datenverarbeitungssystem,87,82,5,1408575,0.1
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,144,Sachbeschädigung inkl. geringfügig,9823,9823,0,1408575,7
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,144,Sachbeschädigung und Diebstahl,11688,11688,0,1408575,8.3
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,144,Datenbeschädigung inkl. geringfügig,76,76,0,1408575,0.1
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,145,Veruntreuung und Entzug von Pfandsachen und Retentionsgegeständen,1,1,0,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,146,Betrug inkl. geringfügig,1519,1252,267,1408575,1.1
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,146,Darlehensbetrug inkl. geringfügig,66,58,8,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,146,Kreditbetrug inkl. geringfügig,15,9,6,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,146,Vorschussbetrug inkl. geringfügig,19,14,5,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,146,Geldwechselbetrug inkl. geringfügig,23,20,3,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,146,Betrug b. Waren inkl. geringfügig,386,368,18,1408575,0.3
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,146,Betrug beim Fahrzeugerheben,35,28,7,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,146,Versicherungsbetrug,86,66,20,1408575,0.1
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,146,Checkbetrug inkl. geringfügig,17,7,10,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,146,Spielbetrug inkl. geringfügig,0,0,0,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,146,Hotelbetrug inkl. geringfügig,9,8,1,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,147,Betrügerischer Missbrauch einer Datenverarbeitungsanlage inkl. geringfügig,1145,840,305,1408575,0.8
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,148,Check- und Kreditkartenmissbrauch inkl. geringfügig,16,14,2,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,149,Zechprellerei inkl. geringfügig,55,54,1,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,150,Erschleichen einer Leistung,112,112,0,1408575,0.1
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,150bis,Herstellen/Inverkehrbringen von Materialien zur unbefungten Entschlüsselung codierter Angebote,0,0,0,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,151,Arglistige Vermögensschädigung,5,5,0,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,152,Unwahre Angaben über kaufmännische Gewerbe,1,1,0,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,153,Unwahre Angaben gegenüber Handelsregisterbehörden,6,6,0,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,155,Warenfälschung,6,6,0,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,156,Erpressung,87,59,28,1408575,0.1
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,157,Wucher,9,9,0,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,158,Ungetreue Geschäftsbesorgung inkl. geringfügig,36,35,1,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,159,Missbrauch Lohnabzüge inkl. geringfügig,4,4,0,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,160,Hehlerei inkl. geringfügig,299,297,2,1408575,0.2
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,161,Ausnützen der Kenntnis vertraulicher Tatsachen,3,3,0,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,161bis,Kursmanipulation,0,0,0,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,162,Verletzung des Fabrikations- und Geschäftsgeheimnisses,10,10,0,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,163,Betrügerischer Konkurs und Pfändungsbetrug,46,46,0,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,164,Gläubigerschädigung durch Vermögensminderung,11,11,0,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,165,Misswirtschaft,29,29,0,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,166,Unterlassung der Buchführung,34,34,0,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,167,Bevorzugung eines Gläubigers,2,2,0,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,168,Bestechung bei Zwangsvollstreckung,0,0,0,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,169,Verfügung über mit Beschlag belegte Vermögenswerte,20,20,0,1408575,0
2013,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,170,Erschleichung eines gerichtlichen Nachlassvertrages,0,0,0,1408575,0
2013,311.0,StGB,3,"Total Ehre-, Geheim-, Privatbereich",5,Total übrige Titel StGB,173,Üble Nachrede,256,256,0,1408575,0.2
2013,311.0,StGB,3,"Total Ehre-, Geheim-, Privatbereich",5,Total übrige Titel StGB,174,Verleumdung,316,316,0,1408575,0.2
2013,311.0,StGB,3,"Total Ehre-, Geheim-, Privatbereich",5,Total übrige Titel StGB,175,Üble Nachrede / Verleumdung Toter,0,0,0,1408575,0
2013,311.0,StGB,3,"Total Ehre-, Geheim-, Privatbereich",5,Total übrige Titel StGB,177,Beschimpfung,507,507,0,1408575,0.4
2013,311.0,StGB,3,"Total Ehre-, Geheim-, Privatbereich",5,Total übrige Titel StGB,179,Verletzung Schriftgeheimnis,51,51,0,1408575,0
2013,311.0,StGB,3,"Total Ehre-, Geheim-, Privatbereich",5,Total übrige Titel StGB,179bis,Abhören und Aufnehmen fremder Gespräche,4,4,0,1408575,0
2013,311.0,StGB,3,"Total Ehre-, Geheim-, Privatbereich",5,Total übrige Titel StGB,179ter,Unbefugtes Aufnehmen von Gesprächen,3,3,0,1408575,0
2013,311.0,StGB,3,"Total Ehre-, Geheim-, Privatbereich",5,Total übrige Titel StGB,179quater,Verletzung des Geheim- und Privatbereichs durch Aufnahmegeräte,60,58,2,1408575,0
2013,311.0,StGB,3,"Total Ehre-, Geheim-, Privatbereich",5,Total übrige Titel StGB,179sexies,"Inverkehrbringen und Anpreisen von Abhör-, Ton- und Bildaufnahmegeräten",17,17,0,1408575,0
2013,311.0,StGB,3,"Total Ehre-, Geheim-, Privatbereich",5,Total übrige Titel StGB,179septies,Missbrauch einer Fernmeldeanlage,507,507,0,1408575,0.4
2013,311.0,StGB,3,"Total Ehre-, Geheim-, Privatbereich",5,Total übrige Titel StGB,179novies,Unbefugtes Beschaffen von Personendaten,5,5,0,1408575,0
2013,311.0,StGB,3,"Total Ehre-, Geheim-, Privatbereich",5,Total übrige Titel StGB,179decies,Identitätsmissbrauch,0,0,0,1408575,0
2013,311.0,StGB,4,Total gegen die Freiheit,3,Total gegen die Freiheit,180,Drohung,1892,1889,3,1408575,1.3
2013,311.0,StGB,4,Total gegen die Freiheit,3,Total gegen die Freiheit,181,Nötigung,787,666,121,1408575,0.6
2013,311.0,StGB,4,Total gegen die Freiheit,3,Total gegen die Freiheit,181a,"Zwangsheirat, erzwungene eingetragene Partnerschaft",0,0,0,1408575,0
2013,311.0,StGB,4,Total gegen die Freiheit,3,Total gegen die Freiheit,182,Menschenhandel,16,15,1,1408575,0
2013,311.0,StGB,4,Total gegen die Freiheit,3,Total gegen die Freiheit,183,Freiheitsberaubung/Entführung,72,66,6,1408575,0.1
2013,311.0,StGB,4,Total gegen die Freiheit,3,Total gegen die Freiheit,184,Erschwerende Umstände,0,0,0,1408575,0
2013,311.0,StGB,4,Total gegen die Freiheit,3,Total gegen die Freiheit,185,Geiselnahme,0,0,0,1408575,0
2013,311.0,StGB,4,Total gegen die Freiheit,3,Total gegen die Freiheit,186,Hausfriedensbruch,1272,1271,1,1408575,0.9
2013,311.0,StGB,4,Total gegen die Freiheit,3,Total gegen die Freiheit,186,Hausfriedensbruch und Diebstahl,10996,10956,40,1408575,7.8
2013,311.0,StGB,5,Total gegen sexuelle Integrität,4,Total gegen sexuelle Integrität,187,Sexuelle Handlungen mit Kindern,267,248,19,1408575,0.2
2013,311.0,StGB,5,Total gegen sexuelle Integrität,4,Total gegen sexuelle Integrität,188,Sexuelle Handlungen mit Abhängigen,3,3,0,1408575,0
2013,311.0,StGB,5,Total gegen sexuelle Integrität,4,Total gegen sexuelle Integrität,189,Sexuelle Nötigung,172,159,13,1408575,0.1
2013,311.0,StGB,5,Total gegen sexuelle Integrität,4,Total gegen sexuelle Integrität,190,Vergewaltigung,160,138,22,1408575,0.1
2013,311.0,StGB,5,Total gegen sexuelle Integrität,4,Total gegen sexuelle Integrität,191,Schändung,49,47,2,1408575,0
2013,311.0,StGB,5,Total gegen sexuelle Integrität,4,Total gegen sexuelle Integrität,192,Sexuelle Handlungen Insassen,2,1,1,1408575,0
2013,311.0,StGB,5,Total gegen sexuelle Integrität,4,Total gegen sexuelle Integrität,193,Ausnützung der Notlage,5,5,0,1408575,0
2013,311.0,StGB,5,Total gegen sexuelle Integrität,4,Total gegen sexuelle Integrität,194,Exhibitionismus,113,111,2,1408575,0.1
2013,311.0,StGB,5,Total gegen sexuelle Integrität,4,Total gegen sexuelle Integrität,195,Förderung der Prostitution,20,20,0,1408575,0
2013,311.0,StGB,5,Total gegen sexuelle Integrität,4,Total gegen sexuelle Integrität,197,Pornografie,453,450,3,1408575,0.3
2013,311.0,StGB,5,Total gegen sexuelle Integrität,4,Total gegen sexuelle Integrität,198,Sexuelle Belästigungen,277,277,0,1408575,0.2
2013,311.0,StGB,5,Total gegen sexuelle Integrität,4,Total gegen sexuelle Integrität,199,Unzulässige Ausübung Prostitution,1219,1219,0,1408575,0.9
2013,311.0,StGB,6,Total gegen die Familie,5,Total übrige Titel StGB,213,Inzest,2,2,0,1408575,0
2013,311.0,StGB,6,Total gegen die Familie,5,Total übrige Titel StGB,215,Mehrfache Ehe oder eingetragene Partnerschaft,1,1,0,1408575,0
2013,311.0,StGB,6,Total gegen die Familie,5,Total übrige Titel StGB,217,Vernachlässigung von Unterhaltspflichten,41,41,0,1408575,0
2013,311.0,StGB,6,Total gegen die Familie,5,Total übrige Titel StGB,219,Verletzung der Fürsorge- / Erziehungspflicht,14,14,0,1408575,0
2013,311.0,StGB,6,Total gegen die Familie,5,Total übrige Titel StGB,220,Entziehen von Unmündigen,29,28,1,1408575,0
2013,311.0,StGB,7,Total Gemeingefährliche Verbrechen und Vergehen,5,Total übrige Titel StGB,221,Brandstiftung,125,82,43,1408575,0.1
2013,311.0,StGB,7,Total Gemeingefährliche Verbrechen und Vergehen,5,Total übrige Titel StGB,222,Fahrlässige Verursachung Feuersbrunst,50,50,0,1408575,0
2013,311.0,StGB,7,Total Gemeingefährliche Verbrechen und Vergehen,5,Total übrige Titel StGB,223,Verursachung Explosion,12,10,2,1408575,0
2013,311.0,StGB,7,Total Gemeingefährliche Verbrechen und Vergehen,5,Total übrige Titel StGB,224,Gefährdung durch Sprengstoffe und giftige Gase in verbrecherischer Absicht,53,53,0,1408575,0
2013,311.0,StGB,7,Total Gemeingefährliche Verbrechen und Vergehen,5,Total übrige Titel StGB,225,Fahrlässige Gefährdung,5,5,0,1408575,0
2013,311.0,StGB,7,Total Gemeingefährliche Verbrechen und Vergehen,5,Total übrige Titel StGB,226,Herstellen/Verbergen/Weiterschaffen von Sprengstoff giftigen Gasen,1,1,0,1408575,0
2013,311.0,StGB,7,Total Gemeingefährliche Verbrechen und Vergehen,5,Total übrige Titel StGB,226bis,Gefährdung durch Kernenergie/Radioaktivität/ionisierende Strahlen,0,0,0,1408575,0
2013,311.0,StGB,7,Total Gemeingefährliche Verbrechen und Vergehen,5,Total übrige Titel StGB,226ter,Strafbare Vorbereitungshandlungen (gefährd. Kernenergie / Radioaktiv.),0,0,0,1408575,0
2013,311.0,StGB,7,Total Gemeingefährliche Verbrechen und Vergehen,5,Total übrige Titel StGB,227,Verursachen Überschwemmung/Erdsturz,1,1,0,1408575,0
2013,311.0,StGB,7,Total Gemeingefährliche Verbrechen und Vergehen,5,Total übrige Titel StGB,228,"Beschädigung von elektrischen Anlagen, Wasserbauten und Schutzvorrichtungen",1,1,0,1408575,0
2013,311.0,StGB,7,Total Gemeingefährliche Verbrechen und Vergehen,5,Total übrige Titel StGB,229,Gefährdung durch Verletzung der Regeln der Baukunde,12,12,0,1408575,0
2013,311.0,StGB,7,Total Gemeingefährliche Verbrechen und Vergehen,5,Total übrige Titel StGB,230,Beseitigung/Nichtanbringung Sicherheitsvorrichtungen,1,1,0,1408575,0
2013,311.0,StGB,8,Total gegen die öffentliche Gesundheit,5,Total übrige Titel StGB,230bis,Gefährdung durch gentechnisch veränderte oder pathogene Organismen,0,0,0,1408575,0
2013,311.0,StGB,8,Total gegen die öffentliche Gesundheit,5,Total übrige Titel StGB,231,Verbreiten menschlicher Krankheiten,8,3,5,1408575,0
2013,311.0,StGB,8,Total gegen die öffentliche Gesundheit,5,Total übrige Titel StGB,232,Verbreiten von Tierseuchen,0,0,0,1408575,0
2013,311.0,StGB,8,Total gegen die öffentliche Gesundheit,5,Total übrige Titel StGB,233,Verbreiten von Schädlingen,0,0,0,1408575,0
2013,311.0,StGB,8,Total gegen die öffentliche Gesundheit,5,Total übrige Titel StGB,234,Verunreinigung von Trinkwasser,0,0,0,1408575,0
2013,311.0,StGB,8,Total gegen die öffentliche Gesundheit,5,Total übrige Titel StGB,235,Herstellen von gesundheitsschädlichem Futter,0,0,0,1408575,0
2013,311.0,StGB,8,Total gegen die öffentliche Gesundheit,5,Total übrige Titel StGB,236,Inverkehrbringen von gesundheitsschädlichem Futter,0,0,0,1408575,0
2013,311.0,StGB,9,Total gegen den öffentlichen Verkehr,5,Total übrige Titel StGB,237,Störung des öffentlichen Verkehrs,98,96,2,1408575,0.1
2013,311.0,StGB,9,Total gegen den öffentlichen Verkehr,5,Total übrige Titel StGB,238,Störung des Eisenbahnverkehrs,18,17,1,1408575,0
2013,311.0,StGB,9,Total gegen den öffentlichen Verkehr,5,Total übrige Titel StGB,239,"Störung von Betrieben, die der Allgemeinheit dienen",44,44,0,1408575,0
2013,311.0,StGB,10,"Total Fälschung Geld, amtliche Wertzeichen, amtliche Zeichen",5,Total übrige Titel StGB,240,Geldfälschung,11,11,0,1408575,0
2013,311.0,StGB,10,"Total Fälschung Geld, amtliche Wertzeichen, amtliche Zeichen",5,Total übrige Titel StGB,241,Geldverfälschung,3,3,0,1408575,0
2013,311.0,StGB,10,"Total Fälschung Geld, amtliche Wertzeichen, amtliche Zeichen",5,Total übrige Titel StGB,242,In Umlaufsetzen Falschgeld,252,231,21,1408575,0.2
2013,311.0,StGB,10,"Total Fälschung Geld, amtliche Wertzeichen, amtliche Zeichen",5,Total übrige Titel StGB,243,"Nachmachen Banknoten, Münzen, Wertzeichen",0,0,0,1408575,0
2013,311.0,StGB,10,"Total Fälschung Geld, amtliche Wertzeichen, amtliche Zeichen",5,Total übrige Titel StGB,244,"Einführen, Erwerben, Lagern falschen Geldes",7,6,1,1408575,0
2013,311.0,StGB,10,"Total Fälschung Geld, amtliche Wertzeichen, amtliche Zeichen",5,Total übrige Titel StGB,245,Fälschung amtlicher Wertzeichen,1,1,0,1408575,0
